nohup: 忽略输入
Detected Discrete Task: TFBind8-Exact-v0. Applying One-Hot + Dequantization.
Data Loaded: Input Dim=32 | Total 32898 | Gold 3289
[Train Debug] v_pred norm: 2.52 | Target u_t norm: 3.31
[Train Debug] v_pred norm: 2.46 | Target u_t norm: 3.23
[Train Debug] v_pred norm: 2.52 | Target u_t norm: 3.19
[Train Debug] v_pred norm: 2.43 | Target u_t norm: 3.22
[Train Debug] v_pred norm: 2.54 | Target u_t norm: 3.29
Step 9500/20000 | Loss: 0.1340
[Train Debug] v_pred norm: 2.40 | Target u_t norm: 3.27
[Train Debug] v_pred norm: 2.58 | Target u_t norm: 3.31
[Train Debug] v_pred norm: 2.51 | Target u_t norm: 3.25
[Train Debug] v_pred norm: 2.52 | Target u_t norm: 3.28
[Train Debug] v_pred norm: 2.50 | Target u_t norm: 3.31
[Train Debug] v_pred norm: 2.52 | Target u_t norm: 3.30
[Train Debug] v_pred norm: 2.43 | Target u_t norm: 3.25
[Train Debug] v_pred norm: 2.40 | Target u_t norm: 3.15
[Train Debug] v_pred norm: 2.52 | Target u_t norm: 3.33
Step 10000/20000 | Loss: 0.1336
[Train Debug] v_pred norm: 2.48 | Target u_t norm: 3.31
[Train Debug] v_pred norm: 2.59 | Target u_t norm: 3.30
[Train Debug] v_pred norm: 2.54 | Target u_t norm: 3.25
Step 10500/20000 | Loss: 0.1326
[Train Debug] v_pred norm: 2.57 | Target u_t norm: 3.34
[Train Debug] v_pred norm: 2.48 | Target u_t norm: 3.30
[Train Debug] v_pred norm: 2.47 | Target u_t norm: 3.25
[Train Debug] v_pred norm: 2.43 | Target u_t norm: 3.22
[Train Debug] v_pred norm: 2.49 | Target u_t norm: 3.28
[Train Debug] v_pred norm: 2.47 | Target u_t norm: 3.22
[Train Debug] v_pred norm: 2.41 | Target u_t norm: 3.25
[Train Debug] v_pred norm: 2.58 | Target u_t norm: 3.33
[Train Debug] v_pred norm: 2.54 | Target u_t norm: 3.24
[Train Debug] v_pred norm: 2.40 | Target u_t norm: 3.22
[Train Debug] v_pred norm: 2.58 | Target u_t norm: 3.30
[Train Debug] v_pred norm: 2.47 | Target u_t norm: 3.33
[Train Debug] v_pred norm: 2.42 | Target u_t norm: 3.25
[Train Debug] v_pred norm: 2.59 | Target u_t norm: 3.25
[Train Debug] v_pred norm: 2.49 | Target u_t norm: 3.27
Step 11000/20000 | Loss: 0.1260
[Train Debug] v_pred norm: 2.52 | Target u_t norm: 3.31
[Train Debug] v_pred norm: 2.54 | Target u_t norm: 3.27
[Train Debug] v_pred norm: 2.59 | Target u_t norm: 3.29
[Train Debug] v_pred norm: 2.51 | Target u_t norm: 3.25
[Train Debug] v_pred norm: 2.41 | Target u_t norm: 3.27
Step 11500/20000 | Loss: 0.1249
[Train Debug] v_pred norm: 2.55 | Target u_t norm: 3.35
[Train Debug] v_pred norm: 2.50 | Target u_t norm: 3.27
[Train Debug] v_pred norm: 2.65 | Target u_t norm: 3.24
[Train Debug] v_pred norm: 2.65 | Target u_t norm: 3.36
Step 12000/20000 | Loss: 0.1355
[Train Debug] v_pred norm: 2.63 | Target u_t norm: 3.24
[Train Debug] v_pred norm: 2.59 | Target u_t norm: 3.28
[Train Debug] v_pred norm: 2.54 | Target u_t norm: 3.29
[Train Debug] v_pred norm: 2.43 | Target u_t norm: 3.21
Step 12500/20000 | Loss: 0.1239
[Train Debug] v_pred norm: 2.63 | Target u_t norm: 3.27
[Train Debug] v_pred norm: 2.54 | Target u_t norm: 3.28
[Train Debug] v_pred norm: 2.62 | Target u_t norm: 3.27
[Train Debug] v_pred norm: 2.65 | Target u_t norm: 3.27
[Train Debug] v_pred norm: 2.58 | Target u_t norm: 3.27
[Train Debug] v_pred norm: 2.51 | Target u_t norm: 3.28
[Train Debug] v_pred norm: 2.56 | Target u_t norm: 3.28
Step 13000/20000 | Loss: 0.1243
[Train Debug] v_pred norm: 2.58 | Target u_t norm: 3.29
[Train Debug] v_pred norm: 2.57 | Target u_t norm: 3.28
[Train Debug] v_pred norm: 2.63 | Target u_t norm: 3.28
[Train Debug] v_pred norm: 2.63 | Target u_t norm: 3.28
Step 13500/20000 | Loss: 0.1270
[Train Debug] v_pred norm: 2.54 | Target u_t norm: 3.29
[Train Debug] v_pred norm: 2.54 | Target u_t norm: 3.28
[Train Debug] v_pred norm: 2.72 | Target u_t norm: 3.30
Step 14000/20000 | Loss: 0.1180
[Train Debug] v_pred norm: 2.55 | Target u_t norm: 3.24
[Train Debug] v_pred norm: 2.60 | Target u_t norm: 3.25
Step 14500/20000 | Loss: 0.1207
[Train Debug] v_pred norm: 2.68 | Target u_t norm: 3.31
[Train Debug] v_pred norm: 2.52 | Target u_t norm: 3.25
[Train Debug] v_pred norm: 2.49 | Target u_t norm: 3.19
Step 15000/20000 | Loss: 0.1250
[Train Debug] v_pred norm: 2.61 | Target u_t norm: 3.30
[Train Debug] v_pred norm: 2.58 | Target u_t norm: 3.29
[Train Debug] v_pred norm: 2.61 | Target u_t norm: 3.32
Step 15500/20000 | Loss: 0.1161
[Train Debug] v_pred norm: 2.58 | Target u_t norm: 3.31
[Train Debug] v_pred norm: 2.68 | Target u_t norm: 3.30
[Train Debug] v_pred norm: 2.59 | Target u_t norm: 3.17
[Train Debug] v_pred norm: 2.57 | Target u_t norm: 3.23
[Train Debug] v_pred norm: 2.68 | Target u_t norm: 3.34
[Train Debug] v_pred norm: 2.74 | Target u_t norm: 3.32
Step 16000/20000 | Loss: 0.1234
[Train Debug] v_pred norm: 2.59 | Target u_t norm: 3.25
[Train Debug] v_pred norm: 2.65 | Target u_t norm: 3.25
Step 16500/20000 | Loss: 0.1143
[Train Debug] v_pred norm: 2.61 | Target u_t norm: 3.27
[Train Debug] v_pred norm: 2.65 | Target u_t norm: 3.29
[Train Debug] v_pred norm: 2.58 | Target u_t norm: 3.31
[Train Debug] v_pred norm: 2.58 | Target u_t norm: 3.27
Step 17000/20000 | Loss: 0.1090
[Train Debug] v_pred norm: 2.66 | Target u_t norm: 3.21
[Train Debug] v_pred norm: 2.69 | Target u_t norm: 3.32
Step 17500/20000 | Loss: 0.1059
[Train Debug] v_pred norm: 2.67 | Target u_t norm: 3.23
[Train Debug] v_pred norm: 2.55 | Target u_t norm: 3.31
[Train Debug] v_pred norm: 2.77 | Target u_t norm: 3.28
[Train Debug] v_pred norm: 2.72 | Target u_t norm: 3.22
[Train Debug] v_pred norm: 2.70 | Target u_t norm: 3.30
Step 18000/20000 | Loss: 0.1027
[Train Debug] v_pred norm: 2.68 | Target u_t norm: 3.24
[Train Debug] v_pred norm: 2.71 | Target u_t norm: 3.29
[Train Debug] v_pred norm: 2.55 | Target u_t norm: 3.20
[Train Debug] v_pred norm: 2.55 | Target u_t norm: 3.25
Step 18500/20000 | Loss: 0.1185
[Train Debug] v_pred norm: 2.63 | Target u_t norm: 3.27
[Train Debug] v_pred norm: 2.68 | Target u_t norm: 3.35
[Train Debug] v_pred norm: 2.66 | Target u_t norm: 3.32
[Train Debug] v_pred norm: 2.75 | Target u_t norm: 3.33
[Train Debug] v_pred norm: 2.63 | Target u_t norm: 3.28
Step 19000/20000 | Loss: 0.1097
[Train Debug] v_pred norm: 2.67 | Target u_t norm: 3.23
[Train Debug] v_pred norm: 2.71 | Target u_t norm: 3.27
[Train Debug] v_pred norm: 2.67 | Target u_t norm: 3.19
[Train Debug] v_pred norm: 2.66 | Target u_t norm: 3.20
[Train Debug] v_pred norm: 2.64 | Target u_t norm: 3.24
[Train Debug] v_pred norm: 2.66 | Target u_t norm: 3.23
[Train Debug] v_pred norm: 2.66 | Target u_t norm: 3.32
[Train Debug] v_pred norm: 2.68 | Target u_t norm: 3.25
[Train Debug] v_pred norm: 2.63 | Target u_t norm: 3.23
Step 19500/20000 | Loss: 0.1081
[Train Debug] v_pred norm: 2.58 | Target u_t norm: 3.24
[Train Debug] v_pred norm: 2.78 | Target u_t norm: 3.32
[Train Debug] v_pred norm: 2.71 | Target u_t norm: 3.26
Step 20000/20000 | Loss: 0.1123

Running Evaluation with Energy-based Guidance...
[Info] Aggressive Targets: Norm=5.0 (Approx Raw 0.7)

[Debug] Start Sampling. X Range: [-0.93, 2.33]
[Debug] Y_Target Stats: Mean=5.0000 | Min=5.0000 | Max=5.0000
[Debug] Y_Start  Stats: Mean=0.6927  | Min=0.1483 | Max=1.1917
[Step 0] X_max: 2.33 | Flow: 163.75 | Grad: 9.31 | Reg: 6.42
    -> Warning: Velocity Explosion detected at Step 0!
[Step 0] ... Total(Clipped): 56.57
[Step 10] X_max: 2.48 | Flow: 164.63 | Grad: 8.49 | Reg: 6.45
    -> Warning: Velocity Explosion detected at Step 10!
[Step 10] ... Total(Clipped): 56.57
[Step 20] X_max: 2.62 | Flow: 165.61 | Grad: 7.45 | Reg: 6.52
    -> Warning: Velocity Explosion detected at Step 20!
[Step 20] ... Total(Clipped): 56.57
[Step 30] X_max: 2.77 | Flow: 166.66 | Grad: 6.70 | Reg: 6.65
    -> Warning: Velocity Explosion detected at Step 30!
[Step 30] ... Total(Clipped): 56.57
[Step 40] X_max: 2.96 | Flow: 167.77 | Grad: 5.34 | Reg: 6.81
    -> Warning: Velocity Explosion detected at Step 40!
[Step 40] ... Total(Clipped): 56.57
[Step 50] X_max: 3.16 | Flow: 168.91 | Grad: 4.24 | Reg: 7.02
    -> Warning: Velocity Explosion detected at Step 50!
[Step 50] ... Total(Clipped): 56.57
[Step 60] X_max: 3.37 | Flow: 170.07 | Grad: 3.25 | Reg: 7.27
    -> Warning: Velocity Explosion detected at Step 60!
[Step 60] ... Total(Clipped): 56.57
[Step 70] X_max: 3.57 | Flow: 171.22 | Grad: 2.37 | Reg: 7.56
    -> Warning: Velocity Explosion detected at Step 70!
[Step 70] ... Total(Clipped): 56.57
[Step 80] X_max: 3.77 | Flow: 172.36 | Grad: 1.42 | Reg: 7.87
    -> Warning: Velocity Explosion detected at Step 80!
[Step 80] ... Total(Clipped): 56.57
[Step 90] X_max: 3.98 | Flow: 173.46 | Grad: 0.69 | Reg: 8.21
    -> Warning: Velocity Explosion detected at Step 90!
[Step 90] ... Total(Clipped): 56.57
tensor([[ 0.5962, -0.0286, -0.1125,  ...,  1.3792,  0.4326,  0.1983],
        [-0.4966, -0.0318, -0.2071,  ...,  0.3187,  0.4200,  0.1344],
        [-0.3448, -0.0781,  0.8468,  ...,  1.3343,  0.4378,  0.2890],
        ...,
        [-0.4665,  0.0510, -0.2276,  ...,  0.3351,  0.4190,  1.2817],
        [-0.4193, -0.0535,  0.8917,  ...,  0.3252,  0.3794,  1.2001],
        [ 0.5318,  0.0362, -0.1943,  ...,  0.3648,  0.4445,  1.2276]])
[0.39718798 0.3656764  0.37873664 0.3469674  0.40173382 0.4078877
 0.36396527 0.35596627 0.39986807 0.398126   0.3958067  0.36059457
 0.40781552 0.3446481  0.37578857 0.3733765  0.40111533 0.39609534
 0.3549767  0.38702428 0.40820724 0.35454378 0.34707046 0.38415867
 0.4046819  0.36286232 0.3454624  0.3911475  0.35840926 0.41220674
 0.39367294 0.38607594 0.4116707  0.33948377 0.41660824 0.41478375
 0.3806024  0.41487652 0.38813755 0.3722323  0.34078258 0.40474373
 0.36151198 0.41590732 0.36647013 0.40977404 0.35520348 0.3560178
 0.40856802 0.3843545  0.34293696 0.33747372 0.3629654  0.3887148
 0.39523977 0.35940915 0.34073105 0.3772626  0.35761556 0.3755927
 0.40450665 0.3616872  0.35405928 0.36328495 0.36287263 0.39753845
 0.3708098  0.4117738  0.34900838 0.4019812  0.37731415 0.39059085
 0.40753722 0.36124396 0.4069909  0.3473694  0.40798044 0.35565704
 0.3410506  0.40923804 0.3724797  0.41430956 0.40110502 0.34781265
 0.37793264 0.38920957 0.40078548 0.34071043 0.38518947 0.41058838
 0.38288048 0.41352615 0.364893   0.36415082 0.3398858  0.35160598
 0.36662474 0.36081102 0.37741724 0.38834372 0.40844432 0.38610688
 0.39356986 0.409939   0.39213705 0.37078917 0.36079043 0.4093205
 0.37136644 0.3518843  0.41662887 0.3529151  0.35608998 0.3900136
 0.39538407 0.3790562  0.3689028  0.35516223 0.35210076 0.39673442
 0.38930234 0.3534614  0.41723704 0.34357604 0.3423391  0.40755782
 0.40181628 0.37685028]
------------------------------
Result (Valid 128): Mean 0.3791
Percentiles (100/80/50): 0.4172 | 0.4047 | 0.3783
------------------------------
